README | download CSV				
JobTitle_cleaned__	RoleMultichoice_composite	YearsDataVizExperience_4buckets	OrgSector_collapsed	OrgIndustry_collapsed
	Student			
	Student			
	Scientist	A: 2 or fewer years		
	Scientist	C: 6 to 10 years		
	Leadership	B: 3 to 5 years	Non-profit	
	Leadership	B: 3 to 5 years		2 or more
	Leadership	B: 3 to 5 years		
	Leadership	C: 6 to 10 years	Non-profit	Journalism
	Leadership	C: 6 to 10 years	Non-profit	
	Leadership	D: 11 or more years	Public sector (government)	
	Leadership	D: 11 or more years	2 or more	
	Leadership	D: 11 or more years		Information technology
	Leadership	D: 11 or more years		Consulting
	Leadership	D: 11 or more years		
	Journalist	D: 11 or more years		
	Engineer	C: 6 to 10 years		
	Developer	A: 2 or fewer years		Consulting
	Developer	A: 2 or fewer years		
	Developer	B: 3 to 5 years		
	Designer	A: 2 or fewer years		
	Designer	B: 3 to 5 years		Finance
	Designer	B: 3 to 5 years		Consulting
	Designer	B: 3 to 5 years		
	Designer	B: 3 to 5 years		
	Designer	B: 3 to 5 years		
	Designer	B: 3 to 5 years		
	Designer	C: 6 to 10 years		
	Designer	C: 6 to 10 years		
	Analyst	A: 2 or fewer years		
	Analyst	B: 3 to 5 years	Public sector (government)	
	Analyst	B: 3 to 5 years	Public sector (government)	
	Analyst	B: 3 to 5 years		
	Analyst	C: 6 to 10 years	Non-profit	
	Analyst	C: 6 to 10 years		Consulting
	Analyst	C: 6 to 10 years		
	Analyst	C: 6 to 10 years		
	Analyst	D: 11 or more years		
	Analyst			Information technology
	Academic	A: 2 or fewer years		
	Academic	B: 3 to 5 years		
	Academic	B: 3 to 5 years		
	Academic	B: 3 to 5 years		
	Academic	C: 6 to 10 years		
	Academic	C: 6 to 10 years		
	Academic	C: 6 to 10 years		
	Academic	D: 11 or more years		
